filepath,label,duration_s,segment_index,fc_tr,p_tr_lslrt
./recordings/H1/180926_1851.wav,1,5,1,100.10999642488686,0.649607144954605
./recordings/H1/180926_1851.wav,1,5,2,99.96992936600591,0.7010581220644853
./recordings/H1/180926_1851.wav,1,5,3,99.9681337116622,0.7228111493325219
./recordings/H1/180926_1851.wav,1,5,4,99.96265210003163,0.7056392744150766
./recordings/H1/180926_1851.wav,1,5,5,100.08321600901036,0.6675607849455013
./recordings/H1/180930_0906.wav,1,5,1,100.12568752830703,0.7728795515909129
./recordings/H1/180930_0906.wav,1,5,2,100.16536724624831,0.41780923685171645
./recordings/H1/180930_0906.wav,1,5,3,99.99421062957417,0.7709876974057454
./recordings/H1/180930_0906.wav,1,5,4,100.17993998069964,0.8131820645138378
./recordings/H1/180930_0906.wav,1,5,5,100.06068496686416,0.7061933105899751
./recordings/H1/181005_2000.wav,1,5,1,100.02580905695504,0.7100242024643304
./recordings/H1/181005_2000.wav,1,5,2,100.12165420944007,0.7543671580488196
./recordings/H1/181005_2000.wav,1,5,3,100.25868370469517,0.5848541011057162
./recordings/H1/181005_2000.wav,1,5,4,99.87631772308308,0.6254999390475392
./recordings/H1/181005_2000.wav,1,5,5,99.91295787749944,0.6565534273395108
./recordings/H1/181005_2023.wav,1,5,1,99.91337279645036,0.6113458685510853
./recordings/H1/181005_2023.wav,1,5,2,99.6476782733444,0.5377766516061773
./recordings/H1/181005_2023.wav,1,5,3,99.77534966232632,0.30847279428164387
./recordings/H1/181005_2023.wav,1,5,4,99.99274550842055,0.4612672376294259
./recordings/H1/181005_2023.wav,1,5,5,100.20776289858505,0.45103443157612694
./recordings/H1/181008_2000.wav,1,5,1,100.01441884845343,0.5069384753049789
./recordings/H1/181008_2000.wav,1,5,2,99.95179314420956,0.7560415469859672
./recordings/H1/181008_2000.wav,1,5,3,99.81155312930902,0.3852246546505901
./recordings/H1/181008_2000.wav,1,5,4,99.9676080448787,0.7349395351116149
./recordings/H1/181008_2000.wav,1,5,5,100.01162068966829,0.4810789316001293
./recordings/H1/181009_1601.wav,1,5,1,99.9569740932584,0.6940085912367902
./recordings/H1/181009_1601.wav,1,5,2,99.94964331759584,0.7691826642134153
./recordings/H1/181009_1601.wav,1,5,3,99.9217944695357,0.7309645359638783
./recordings/H1/181009_1601.wav,1,5,4,100.10291138825744,0.6824601186233114
./recordings/H1/181009_1601.wav,1,5,5,100.04010946271647,0.7881197013677369
./recordings/H1/181009_1611.wav,1,5,1,99.9980007388043,0.6798283122138017
./recordings/H1/181009_1611.wav,1,5,2,99.97036591143342,0.677674572431941
./recordings/H1/181009_1611.wav,1,5,3,99.96426695856668,0.7675678171634777
./recordings/H1/181009_1611.wav,1,5,4,99.92809242202311,0.7626490320420348
./recordings/H1/181009_1611.wav,1,5,5,100.12330130427931,0.5791386028230227
./recordings/H1/181010_2123.wav,1,5,1,100.04719815912225,0.643344860540672
./recordings/H1/181010_2123.wav,1,5,2,99.92553645979865,0.7930090850682447
./recordings/H1/181010_2123.wav,1,5,3,100.04170056783462,0.7430772101946855
./recordings/H1/181010_2123.wav,1,5,4,100.18398816215951,0.8091271152500792
./recordings/H1/181010_2123.wav,1,5,5,99.858142481444,0.7911236326177199
./recordings/H1/181010_2136.wav,1,5,1,100.05627366525577,0.7191672580503239
./recordings/H1/181010_2136.wav,1,5,2,100.01465133506211,0.6975893988547162
./recordings/H1/181010_2136.wav,1,5,3,100.0660794499019,0.7753393889320271
./recordings/H1/181010_2136.wav,1,5,4,100.01507173430656,0.7775665403062855
./recordings/H1/181010_2136.wav,1,5,5,99.98344076305624,0.7903060764582847
./recordings/H1/181012_1038.wav,1,5,1,100.10575009619842,0.6306074935900016
./recordings/H1/181012_1038.wav,1,5,2,99.97574334316872,0.6382767309107911
./recordings/H1/181012_1038.wav,1,5,3,100.11687296356935,0.6533132612141782
./recordings/H1/181012_1038.wav,1,5,4,99.86972559672486,0.592674495050775
./recordings/H1/181012_1038.wav,1,5,5,100.06982051304209,0.6892906784348782
./recordings/H1/181016_1307.wav,1,5,1,100.01711851292694,0.8134428982872531
./recordings/H1/181016_1307.wav,1,5,2,100.01835093302911,0.7364194370333956
./recordings/H1/181016_1307.wav,1,5,3,99.87881920066688,0.7103852410711151
./recordings/H1/181016_1307.wav,1,5,4,100.03490681010716,0.7253657574725987
./recordings/H1/181016_1307.wav,1,5,5,100.07792500364174,0.7668018807766059
./recordings/H1/181017_1544.wav,1,5,1,100.03111364630176,0.6402952234680879
./recordings/H1/181017_1544.wav,1,5,2,100.18344277611652,0.264417122500319
./recordings/H1/181017_1544.wav,1,5,3,100.07680782195015,0.5486733202327101
./recordings/H1/181017_1544.wav,1,5,4,100.02775832799071,0.6190275672298942
./recordings/H1/181017_1544.wav,1,5,5,99.88432683781814,0.7294494847547914
./recordings/H1/181017_1617.wav,1,5,1,99.9883255140751,0.6772966758581771
./recordings/H1/181017_1617.wav,1,5,2,99.91019559260258,0.6705623407897261
./recordings/H1/181017_1617.wav,1,5,3,99.97750497495939,0.6430308001842087
./recordings/H1/181017_1617.wav,1,5,4,99.95151907803563,0.5989848105712964
./recordings/H1/181017_1617.wav,1,5,5,100.13857928457952,0.5715536706054012
./recordings/H1/181020_2110.wav,1,5,1,99.79022666160316,0.7399557361517307
./recordings/H1/181020_2110.wav,1,5,2,99.97086182284175,0.47964775287590294
./recordings/H1/181020_2110.wav,1,5,3,99.99392693773592,0.5888065943646995
./recordings/H1/181020_2110.wav,1,5,4,99.88828976128796,0.5669288357503509
./recordings/H1/181020_2110.wav,1,5,5,100.07707976480344,0.6845526447585145
./recordings/H1/181021_2111.wav,1,5,1,99.93307028889889,0.6886538408714344
